1	e928d42918826b8b32e6dcb9976ed912	Sponsor	Ebony 	Willis Beat	2017-06-19	High Life	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2Fsponsor.jpeg?alt=media&token=d559bcd0-18a9-4ce2-8729-0f4a2983120e	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2Fsponsor.mp3?alt=media&token=111ec7cb-ecba-4a3f-8073-b4bd42dad446	17	1	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
2	c1bd959dd4c3356c516f6b05237ef2f4	Boys Boys	Nacee ft. Guru 	nacee	2017-06-03	High Life	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2Fboys%20boys.jpeg?alt=media&token=39d4c609-29a2-46d7-852b-eb72f20eb603	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2Fboys%20boys.mpeg?alt=media&token=d7aee31e-2960-4206-a62f-2c2b9483881a	16	2	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
3	fe161eff080325f8de10b3e97bb42877	Fall	Davido 	Kiddominant	2017-06-05	Afro Pop	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2FFall.jpeg?alt=media&token=fa8838f4-e5a3-4603-b2e7-3e0b7662cab3	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2FFall.mp3?alt=media&token=6a8343e0-5ea4-4dfe-9111-244947f56fb3	16	3	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
4	ef5594bd605db1a89b3819836b952196	If	Davido 	Tekno	2017-06-05	High Life	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2Fif.jpeg?alt=media&token=73d4074f-e1ea-49c2-864b-0aa1e4350818	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2Fif.mpeg?alt=media&token=be8dad39-35e4-48aa-9f2a-edfe7f81eb9f	16	4	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
5	d7679ca5e4cb4ebdcbdc8acf1f5dd4cd	Taking Over	Shatta Wale ft. Adiself Captan Joint 77 	Willis Beat	2017-06-03	Afro Pop, Dance Hall	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2Ftaking%20over.jpeg?alt=media&token=00bab057-a6a6-4d38-83c7-47538cab27c8	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2Ftaking%20over.mpeg?alt=media&token=14d94339-fdc5-4c0e-a6b8-fd366fb219d8	15	5	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
6	a0cd0bd1a25622b6973c40e8c2da2469	Mad Over You	Runtown 	Del'B	2017-06-05	Afro Pop	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2FMad%20Over%20You.jpeg?alt=media&token=ebb4c9da-3e96-406f-89fa-5d9f634fbb6b	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2FMad%20Over%20You.mp3?alt=media&token=9fc810dd-f9cd-4c51-b43d-955786af2da4	14	6	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
7	692ad95db97c0321811cb2a7b40aaf0e	Free Me	Criss Waddle ft. Medikal Mr Eazi Sarkodie 	magnom	2017-06-08	Afro Pop, Hip Life	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2Ffree%20me.jpeg?alt=media&token=959e17be-0001-4453-a4fd-5ade55bbd52d	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2Ffree%20me.mp3?alt=media&token=16aab23f-03c4-4b7d-9138-498a534e5c24	13	7	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
8	7af9c72fe28b174858e1e15fc6e0fe4d	Yawa	Tekno 	unknown	2017-06-11	Afro Pop	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2FYawa.jpeg?alt=media&token=b91fa381-4574-4985-9af0-a384954a321e	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2FYawa.mp3?alt=media&token=5acba954-1aad-4530-8b13-eec6056b64b8	12	8	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
9	f1386a1c6613337079aeffe92f4a49cb	Ayoo	Shatta Wale 	Possi Gee	2017-06-04	Dance Hall	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2Fayoo.jpeg?alt=media&token=cebf6aba-217b-40fe-a564-b69830fac476	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2Fayoo.mpeg?alt=media&token=83dce89c-d477-410a-9959-4abe4c793066	11	9	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
10	0e134ff428f6dec4220cda85bdc66eeb	Gboza	Sarkodie 	MOG Beatz, Possi Gee	2017-06-05	Hip Life	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2Fsongs%2Fgboza.jpeg?alt=media&token=3a299dee-4bbd-4933-beb7-e385963acc7c	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/audios%2Fsongs%2Fgboza.mpeg?alt=media&token=d5d00db5-09ce-4f0e-9bac-2fda406872c3	10	10	0	0	1	1	2017-11-27	2017-11-27 11:45:47	2017-11-27 11:45:47
